parameter,estimate,std_error,z_stat,pvalue
const,1.1692557648455149,0.28956656863313485,4.037951516174156,5.391999345992285e-05
ff_mkt_rf_lag1_pct,0.0057111530638285675,0.04322437824716408,0.1321280558663275,0.8948830050783948
ff_smb_lag1_pct,-0.043531729003320474,0.04805298778237243,-0.9059109747862438,0.36498297494079623
ff_hml_lag1_pct,0.15842594177562416,0.05003200740810279,3.166491811599123,0.00154289689880552
ff_rf_lag1_pct,-0.08900074463379087,1.0810115406368075,-0.08233098471951732,0.9343835158078023
ar.L1,-0.22379357788723198,0.06401876382866313,-3.4957497537156885,0.0004727318191721989
ar.L2,-0.7259892375431394,0.0664015968822762,-10.93330991467344,7.988051543168691e-28
ma.L1,0.31770679014655634,0.055859037719091016,5.687652403614058,1.2879764422539933e-08
ma.L2,0.7830085938565876,0.06081327911149206,12.87561870197886,6.174232202966285e-38
sigma2,48.652828884473855,0.9512457819567209,51.14643324293597,0.0
