portfolio,model_key,model_label,rmse,mae,directional_accuracy,n_forecasts
small_lobm_vwret_pct,benchmark_arima,Benchmark ARIMA,6.652497213895193,4.8812907543181465,0.6083333333333333,120
small_lobm_vwret_pct,arimax_exog,ARIMAX with lagged Fama-French factors,6.79764716429749,4.908115765818187,0.5416666666666666,120
small_lobm_vwret_pct,predictive_regression,Predictive regression with lagged factors and internal signals,6.7336601803574245,4.9445965753688315,0.5333333333333333,120
me1_bm2_vwret_pct,benchmark_arima,Benchmark ARIMA,6.16706102529741,4.665208051009097,0.575,120
me1_bm2_vwret_pct,arimax_exog,ARIMAX with lagged Fama-French factors,6.349120356279344,4.753004502158473,0.5583333333333333,120
me1_bm2_vwret_pct,predictive_regression,Predictive regression with lagged factors and internal signals,6.237943526331062,4.697626764416079,0.5833333333333334,120
small_hibm_vwret_pct,benchmark_arima,Benchmark ARIMA,6.851664240832449,5.151879620933409,0.5416666666666666,120
small_hibm_vwret_pct,arimax_exog,ARIMAX with lagged Fama-French factors,7.02406885438424,5.360866216346037,0.5583333333333333,120
small_hibm_vwret_pct,predictive_regression,Predictive regression with lagged factors and internal signals,6.906310382006514,5.266827804088228,0.55,120
big_lobm_vwret_pct,benchmark_arima,Benchmark ARIMA,4.700277180385943,3.628992959169013,0.625,120
big_lobm_vwret_pct,arimax_exog,ARIMAX with lagged Fama-French factors,4.733002961689977,3.626762530864464,0.65,120
big_lobm_vwret_pct,predictive_regression,Predictive regression with lagged factors and internal signals,4.742395757627087,3.6525674274583766,0.6583333333333333,120
me2_bm2_vwret_pct,benchmark_arima,Benchmark ARIMA,4.806963649724421,3.4897143815028833,0.5833333333333334,120
me2_bm2_vwret_pct,arimax_exog,ARIMAX with lagged Fama-French factors,4.667688846662423,3.3889999216735047,0.5916666666666667,120
me2_bm2_vwret_pct,predictive_regression,Predictive regression with lagged factors and internal signals,4.739757455459027,3.4574417462080294,0.5916666666666667,120
big_hibm_vwret_pct,benchmark_arima,Benchmark ARIMA,6.456978403659958,4.831571817582142,0.5583333333333333,120
big_hibm_vwret_pct,arimax_exog,ARIMAX with lagged Fama-French factors,6.471274850397867,4.839218639595443,0.525,120
big_hibm_vwret_pct,predictive_regression,Predictive regression with lagged factors and internal signals,6.1340293838474,4.562362920056854,0.625,120
